Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2002,5486,2707,G,Grad,COLUMBIA UNIV NURSING GRAD,PRIVATE,5-INDEPENDENT,12
2002,5485,2707,G,Grad,COLUMBIA  UNIV COLL MEDICINE,PRIVATE,5-INDEPENDENT,25
2002,5480,2677,G,Grad,BROOKLYN LAW SCHOOL,PRIVATE,5-INDEPENDENT,127
2002,5477,2887,G,Grad,ALBANY MEDICAL COLLEGE (GRAD),PRIVATE,5-INDEPENDENT,1
2002,5475,2887,G,Grad,ALBANY MEDICAL COLLEGE,PRIVATE,5-INDEPENDENT,44
2002,5470,2886,G,Grad,ALBANY LAW SCHOOL GRAD,PRIVATE,5-INDEPENDENT,135
2002,5465,2707,G,Grad,COLUMBIA UNIV BUSINESS GRAD,PRIVATE,5-INDEPENDENT,15
2002,5460,2853,G,Grad,SUNY MARITIME COLLEGE GRAD,PUBLIC,3-SUNY SO,3
2002,5456,2782,G,Grad,NEW YORK INST TECH,PRIVATE,5-INDEPENDENT,215
2002,5455,2782,G,Grad,NEW YORK INST TECH,PRIVATE,5-INDEPENDENT,31
2002,5450,2836,G,Grad,SUNY BINGHAMTON GRAD,PUBLIC,3-SUNY SO,187
2002,5445,2813,G,Grad,SARAH LAWRENCE COLLEGE GRAD,PRIVATE,5-INDEPENDENT,13
2002,5435,2758,G,Grad,MANHATTAN COLLEGE GRAD,PRIVATE,5-INDEPENDENT,3
2002,5431,2838,G,Grad,SUNY STONY BROOK MED-DENT,PUBLIC,3-SUNY SO,60
2002,5430,2838,G,Grad,SUNY STONY BROOK GRAD,PUBLIC,3-SUNY SO,299
2002,5425,9769,G,Grad,METROPOLITAN COLLEGE OF NY (GRAD),PRIVATE,5-INDEPENDENT,54
2002,5420,2848,G,Grad,SUC OSWEGO GRAD,PUBLIC,3-SUNY SO,48
