DBN,School Name,Category,Cohort Year,Cohort,Cohort #,Total Grads #,Total Grads % of cohort,Total Regents#,Total Regents% of cohort,Total Regents% of grads,Advanced Regents#,Advanced Regents% of cohort,Advanced Regents% of grads,Regents without Advanced#,Regents without Advanced% of cohort,Regents without Advanced% of grads,Local#,Local% of cohort,Local% of grads,Still Enrolled#,Still Enrolled% of cohort,Dropout#,Dropout% of cohort
84K356,Achievement First Crown Heights Charter School,All Students,2009,5 year August,37,33,89.2,33,89.2,100.0,0,0.0,0.0,33,89.2,100.0,0,0.0,0.0,2,5.4,2,5.4
84K356,Achievement First Crown Heights Charter School,All Students,2013,5 year June,42,39,92.9,36,85.7,92.3,0,0.0,0.0,36,85.7,92.3,3,7.1,7.7,3,7.1,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2012,5 year June,37,35,94.6,34,91.9,97.1,0,0.0,0.0,34,91.9,97.1,1,2.7,2.9,2,5.4,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2011,5 year June,23,23,100.0,23,100.0,100.0,0,0.0,0.0,23,100.0,100.0,0,0.0,0.0,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2010,5 year June,21,20,95.2,20,95.2,100.0,0,0.0,0.0,20,95.2,100.0,0,0.0,0.0,1,4.8,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2009,5 year June,37,31,83.8,31,83.8,100.0,0,0.0,0.0,31,83.8,100.0,0,0.0,0.0,4,10.8,2,5.4
84K356,Achievement First Crown Heights Charter School,All Students,2012,6 year June,36,36,100.0,35,97.2,97.2,0,0.0,0.0,35,97.2,97.2,1,2.8,2.8,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2011,6 year June,23,23,100.0,23,100.0,100.0,0,0.0,0.0,23,100.0,100.0,0,0.0,0.0,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2010,6 year June,21,21,100.0,21,100.0,100.0,0,0.0,0.0,21,100.0,100.0,0,0.0,0.0,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2009,6 year June,37,33,89.2,33,89.2,100.0,0,0.0,0.0,33,89.2,100.0,0,0.0,0.0,2,5.4,2,5.4
84K357,KIPP AMP Charter School,All Students,2014,4 year August,39,34,87.2,33,84.6,97.1,17,43.6,50.0,16,41.0,47.1,1,2.6,2.9,1,2.6,3,7.7
84K357,KIPP AMP Charter School,All Students,2013,4 year August,26,25,96.2,24,92.3,96.0,8,30.8,32.0,16,61.5,64.0,1,3.8,4.0,1,3.8,0,0.0
