DBN,Community School District,School Name,School Pupil-Teacher Ratio
02M534,CSD 02,HARVEST COLLEGIATE HIGH SCHOOL,11.8
02M542,CSD 02,MANHATTAN BRIDGES HIGH SCHOOL,17.2
02M543,CSD 02,NEW DESIGN HIGH SCHOOL,11.1
02M544,CSD 02,INDEPENDENCE HIGH SCHOOL,15.8
02M545,CSD 02,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,16.2
02M546,CSD 02,ACADEMY FOR SOFTWARE ENGINEERING,12.9
02M550,CSD 02,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,15.5
02M551,CSD 02,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,13.2
02M560,CSD 02,HIGH SCHOOL M560 - CITY AS SCHOOL,14.9
02M565,CSD 02,URBAN ACADEMY LABORATORY HIGH SCHOOL,10.1
02M570,CSD 02,SATELLITE ACADEMY HIGH SCHOOL,18
02M575,CSD 02,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,17.6
02M580,CSD 02,RICHARD R GREEN HIGH SCHOOL OF TEACHING,14.8
02M586,CSD 02,HARVEY MILK HIGH SCHOOL,8.4
02M600,CSD 02,THE HIGH SCHOOL OF FASHION INDUSTRIES,16.1
02M605,CSD 02,HUMANITIES PREPARATORY ACADEMY,13.5
02M615,CSD 02,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,13.3
02M630,CSD 02,ART AND DESIGN HIGH SCHOOL,16.1
02M655,CSD 02,LIFE SCIENCES SECONDARY SCHOOL,12.6
02M896,CSD 02,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,12.5
02M933,CSD 02,CITY KNOLL MIDDLE SCHOOL,9.3
03M009,CSD 03,PS 009 SARAH ANDERSON,15.3
03M054,CSD 03,JHS 054 BOOKER T WASHINGTON,17.5
03M075,CSD 03,PS 075 EMILY DICKINSON,7.5
03M076,CSD 03,PS 076 A PHILIP RANDOLPH,14.7
03M084,CSD 03,PS 084 LILLIAN WEBER,13.3
03M087,CSD 03,PS 087 WILLIAM SHERMAN,15.3
03M145,CSD 03,"PS 145, THE BLOOMINGDALE SCHOOL",11.1
03M149,CSD 03,PS 149 SOJOURNER TRUTH,9.8
03M163,CSD 03,PS 163 ALFRED E SMITH,13.7
03M165,CSD 03,PS 165 ROBERT E SIMON,10.8
03M166,CSD 03,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,16.9
03M180,CSD 03,PS 180 HUGO NEWMAN,12
03M185,CSD 03,PS 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,11.5
03M191,CSD 03,PS 191 AMSTERDAM,10.1
03M199,CSD 03,PS 199 JESSIE ISADOR STRAUS,16.4
03M241,CSD 03,STEM INSTITUTE OF MANHATTAN,7.9
03M242,CSD 03,PS 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,6.7
03M243,CSD 03,MS 243 CENTER SCHOOL,16.6
03M245,CSD 03,MS M245 THE COMPUTER SCHOOL,15.6
03M247,CSD 03,MS M247 DUAL LANGUAGE MIDDLE SCHOOL,9.8
03M250,CSD 03,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,10.3
03M256,CSD 03,MS 256 ACADEMIC & ATHLETIC EXCELLENCE,8.9
03M258,CSD 03,COMMUNITY ACTION SCHOOL - MS 258,12.1
03M291,CSD 03,WEST END SECONDARY SCHOOL OF URBAN STUDIES,14.7
03M299,CSD 03,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",13.5
03M307,CSD 03,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",14.9
03M333,CSD 03,PS 333 MANHATTAN SCHOOL FOR CHILDREN,16.2
03M334,CSD 03,THE ANDERSON SCHOOL,18.9
03M402,CSD 03,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,10.8
03M403,CSD 03,THE GLOBAL LEARNING COLLABORATIVE,12.3
03M404,CSD 03,INNOVATION DIPLOMA PLUS,12.2
03M415,CSD 03,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,10.1
03M417,CSD 03,FRANK MCCOURT HIGH SCHOOL,15.5
03M421,CSD 03,WEST PREP ACADEMY,11.7
03M452,CSD 03,PS 452,13.4
03M479,CSD 03,BEACON HIGH SCHOOL,20.7
03M485,CSD 03,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,18.8
03M492,CSD 03,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",12.9
03M494,CSD 03,HIGH SCHOOL OF ARTS AND TECHNOLOGY,13.5
03M505,CSD 03,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,11.7
03M541,CSD 03,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,17.3
03M859,CSD 03,SPECIAL MUSIC SCHOOL,12.5
03M860,CSD 03,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,11.5
