DBN,School Name,School Pupil-Teacher Ratio
03M242,PS 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,6.7
03M243,MS 243 CENTER SCHOOL,16.6
03M245,MS M245 THE COMPUTER SCHOOL,15.6
03M247,MS M247 DUAL LANGUAGE MIDDLE SCHOOL,9.8
03M250,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,10.3
03M256,MS 256 ACADEMIC & ATHLETIC EXCELLENCE,8.9
03M258,COMMUNITY ACTION SCHOOL - MS 258,12.1
03M291,WEST END SECONDARY SCHOOL OF URBAN STUDIES,14.7
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",13.5
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",14.9
03M333,PS 333 MANHATTAN SCHOOL FOR CHILDREN,16.2
03M334,THE ANDERSON SCHOOL,18.9
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,10.8
03M403,THE GLOBAL LEARNING COLLABORATIVE,12.3
03M404,INNOVATION DIPLOMA PLUS,12.2
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,10.1
03M417,FRANK MCCOURT HIGH SCHOOL,15.5
03M421,WEST PREP ACADEMY,11.7
03M452,PS 452,13.4
03M479,BEACON HIGH SCHOOL,20.7
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,18.8
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",12.9
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,13.5
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,11.7
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,17.3
03M859,SPECIAL MUSIC SCHOOL,12.5
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,11.5
03M862,MOTT HALL II,18.8
04M007,PS 007 SAMUEL STERN,9.6
04M012,TAG YOUNG SCHOLARS,25.6
04M037,RIVER EAST ELEMENTARY,12.2
04M038,PS 38 ROBERTO CLEMENTE,10.4
04M057,JAMES WELDON JOHNSON,11.9
04M072,THE LEXINGTON ACADEMY,11.6
04M083,PS 083 LUIS MUNOZ RIVERA,13.5
04M096,PS 096 JOSEPH LANZETTA,9.7
04M102,PS 102 JACQUES CARTIER,9
04M108,PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,10.4
04M112,PS 112 JOSE CELSO BARBOSA,4.9
04M146,PS 146 ANN M SHORT,11.5
04M155,PS 155 WILLIAM PACA,9.6
04M171,PS 171 PATRICK HENRY,15.3
04M182,THE BILINGUAL BICULTURAL SCHOOL,9.9
04M206,PS 206 JOSE CELSO BARBOSA,5.6
04M224,MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,12.8
04M310,THE JUDITH S KAYE HIGH SCHOOL,12.8
04M372,ESPERANZA PREPARATORY ACADEMY,11.4
04M375,MOSAIC PREPARATORY ACADEMY,11.5
04M377,RENAISSANCE SCHOOL OF THE ARTS,9.8
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,19.1
04M495,PARK EAST HIGH SCHOOL,12.1
04M497,CENTRAL PARK EAST I,10.7
04M555,CENTRAL PARK EAST HIGH SCHOOL,16.1
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,15.9
04M680,"HERITAGE SCHOOL, THE",13.9
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,13.6
04M964,CENTRAL PARK EAST II,11.5
05M030,PS 030 HERNANDEZ/HUGHES,7.2
05M036,PS 036 MARGARET DOUGLAS,9.7
05M046,PS 046 ARTHUR TAPPAN,12.9
05M092,PS 092 MARY MCLEOD BETHUNE,10.5
05M123,PS 123 MAHALIA JACKSON,9.9
05M125,PS 125 RALPH BUNCHE,16.2
05M129,PS 129 JOHN H FINLEY,11.6
05M133,PS 133 FRED R MOORE,6.7
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,10.7
05M154,PS 154 HARRIET TUBMAN,9.8
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,10.8
05M161,PS 161 PEDRO ALBIZU CAMPOS,11.1
05M175,PS 175 HENRY H GARNET,13.7
05M194,PS 194 COUNTEE CULLEN,7.7
05M197,PS 197 JOHN B RUSSWURM,10.6
05M200,PS 200- THE JAMES MCCUNE SMITH SCHOOL,10.3
05M285,HARLEM RENAISSANCE HIGH SCHOOL,12.9
05M286,IS M286 RENAISSANCE LEADERSHIP ACADEMY,7.3
05M304,MOTT HALL HIGH SCHOOL,14.8
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,13.6
05M362,COLUMBIA SECONDARY SCHOOL,15.9
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,14.6
05M499,FREDERICK DOUGLASS ACADEMY,15.6
05M514,NEW DESIGN MIDDLE SCHOOL,8.6
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,12.7
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,13.5
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",16.3
06M004,PS 004 DUKE ELLINGTON,13
06M005,PS 005 ELLEN LURIE,11.9
06M008,PS 008 LUIS BELLIARD,12.8
06M018,PS 018 PARK TERRACE,13.3
06M028,PS 028 WRIGHT BROTHERS,11
06M048,PS 048 PO MICHAEL J BUCZEK,9.9
06M052,JHS 052 INWOOD,11.3
06M098,PS 098 SHORAC KAPPOCK,12.2
06M103,DOS PUENTES ELEMENTARY SCHOOL,12.8
06M115,PS 115 ALEXANDER HUMBOLDT,12
06M128,PS 128 AUDUBON,12.4
06M132,PS 132 JUAN PABLO DUARTE,8.4
06M143,JHS 143 ELEANOR ROOSEVELT,9.8
06M152,PS 152 DYCKMAN VALLEY,13.9
06M153,PS 153 ADAM CLAYTON POWELL,15.5
06M173,PS 173,13.7
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,10
06M187,PS/IS 187 HUDSON CLIFFS,14.9
06M189,PS 189,13.2
06M192,PS 192 JACOB H SCHIFF,13.1
06M209,HAMILTON GRANGE MIDDLE SCHOOL,11.6
06M210,PS/IS 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,11.4
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,12.4
06M223,THE MOTT HALL SCHOOL,13.8
06M278,PAULA HEDBAVNY SCHOOL,15.5
06M293,CITY COLLEGE ACADEMY OF THE ARTS,15.7
06M311,AMISTAD DUAL LANGUAGE SCHOOL,14.8
06M314,MUSCOTA,16.5
06M319,MS 319 - MARIA TERESA,12.5
06M322,MIDDLE SCHOOL 322,9.6
06M324,MS 324 - PATRIA MIRABAL,10.2
06M328,MS 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,8.4
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,13.6
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,13.5
06M349,HARBOR HEIGHTS,11.8
06M366,WASHINGTON HEIGHTS ACADEMY,17.6
06M368,HAMILTON HEIGHTS SCHOOL,9.9
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,8.6
06M462,THE COLLEGE ACADEMY,14.5
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,15.1
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,14.9
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,10.4
06M513,CASTLE BRIDGE SCHOOL,9.1
06M528,IS 528 BEA FULLER RODGERS SCHOOL,13
