District,Borough,Building ID,School,Project #,Description,FY,Total
25,Queens,Q107,P.S. 107,DSF0000902053,State of Good Repair - System Replacements - Parapets,2022,4182631
25,Queens,Q107,P.S. 107,DSF0000902050,State of Good Repair - Building Upgrade - Flood Elimination,2022,1560153
25,Queens,Q107,P.S. 107,DSF0000902052,State of Good Repair - System Replacements - Roofs,2022,1697607
26,Queens,Q041,P.S. 41 ADDITION,DSF0000798524,State of Good Repair - System Replacements - Domestic Piping,2020,796187
26,Queens,Q046,P.S. 46 ADDITION,DSF0000798471,State of Good Repair - Building Upgrade - Boiler Conversion,2023,4854453
26,Queens,Q046,P.S. 46 ADDITION,DSF0000788342,State of Good Repair - Building Upgrade - Climate Control,2023,2052743
26,Queens,Q094,P.S. 94,DSF0000798538,State of Good Repair - System Replacements - Domestic Piping,2020,878302
26,Queens,Q172,J.H.S. 172,DSF0000903138,State of Good Repair - System Replacements - Exterior Masonry,2022,4941917
26,Queens,Q172,J.H.S. 172,DSF0000903137,State of Good Repair - System Replacements - Parapets,2022,3661059
26,Queens,Q172,J.H.S. 172,DSF0000903136,State of Good Repair - System Replacements - Roofs,2022,3367915
26,Queens,Q186,P.S. 186,DSF0000911933,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,500000
27,Queens,Q090,P.S. 90,DSF0000912097,State of Good Repair - System Replacements - Electrical Systems,2020,140000
27,Queens,Q097,P.S. 97,DSF0000912099,State of Good Repair - System Replacements - Electrical Systems,2020,260000
27,Queens,Q123,P.S. 123,DSF0000912100,State of Good Repair - System Replacements - Electrical Systems,2020,180000
27,Queens,Q183,P.S. 183,DSF0000912107,State of Good Repair - System Replacements - Electrical Systems,2020,360000
27,Queens,Q198,I.S. 198,DSF0000903525,State of Good Repair - System Replacements - Exterior Masonry,2021,3882830
27,Queens,Q198,I.S. 198,DSF0000903523,State of Good Repair - System Replacements - Roofs,2021,3389274
27,Queens,Q210,I.S. 210,DSF0000912108,State of Good Repair - System Replacements - Electrical Systems,2020,193400
27,Queens,Q223,P.S. 223,DSF0000912109,State of Good Repair - System Replacements - Electrical Systems,2020,10000
28,Queens,Q040,P.S. 40,DSF0000912091,State of Good Repair - System Replacements - Electrical Systems,2020,140000
28,Queens,Q050,P.S. 50,DSF0000912092,State of Good Repair - System Replacements - Electrical Systems,2020,260000
28,Queens,Q054,P.S. 54,DSF0000912093,State of Good Repair - System Replacements - Electrical Systems,2020,210000
28,Queens,Q082,P.S. 82,DSF0000912096,State of Good Repair - System Replacements - Electrical Systems,2020,200000
28,Queens,Q144,P.S. 144,DSF0000902690,State of Good Repair - Building Upgrade - Flood Elimination,2022,961113
28,Queens,Q144,P.S. 144,DSF0000902694,State of Good Repair - System Replacements - Exterior Masonry,2022,6069570
28,Queens,Q144,P.S. 144,DSF0000902692,State of Good Repair - System Replacements - Parapets,2022,2421523
28,Queens,Q144,P.S. 144,DSF0000902691,State of Good Repair - System Replacements - Roofs,2022,1925723
28,Queens,Q144,P.S. 144,DSF0000902693,State of Good Repair - System Replacements - Windows,2022,7778027
28,Queens,Q160,P.S. 160,DSF0000912106,State of Good Repair - System Replacements - Electrical Systems,2020,270000
28,Queens,Q220,P.S. 220,DSF0000791172,State of Good Repair - System Replacements - Heating Plant Upgrade,2020,75200
28,Queens,Q278,PS 182 ANNEX,DSF0000912112,State of Good Repair - System Replacements - Electrical Systems,2020,120000
29,Queens,Q036,P.S. 36,DSF0000911945,State of Good Repair - System Replacements - Electrical Systems,2020,189311
