YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,UNDERGRADUATE_FULLTIME_TOTAL,UNDERGRADUATE_FT_ENR_PROGRAM,UNDERGRADUATE_FT_NOT_ENR_PROGRAM,UNDERGRADUATE_PARTTIME,UNDERGRADUATE_PT_ENR_PROGRAM,UNDERGRADUATE_PT_NOT_ENR_PROGRAM,FIRST_PROFESSIONAL_FULLTIME,FIRST_PROFESSIONAL_PARTTIME,GRADUATE_FULLTIME,GRADUATE_PARTTIME,ALL_STUDENTS_FULLTIME,ALL_STUDENTS_PARTTIME,FIRST_TIME_FULLTIME,FIRST_TIME_PARTTIME,TOTAL,FTE
2017,41,ONEIDA,0,SUNY,0,PUBLIC,0,2-Year,275110,800000041333,MOHAWK VALLEY COMMUNITY COLLEGE-ROME CAMPUS,448,409,39,1100,135,965,0,0,0,0,448,1100,139,23,1548,814.67
2018,41,ONEIDA,0,SUNY,0,PUBLIC,0,2-Year,275110,800000041333,MOHAWK VALLEY COMMUNITY COLLEGE-ROME CAMPUS,419,367,52,1099,112,987,0,0,0,0,419,1099,142,16,1518,785.33
2019,41,ONEIDA,0,SUNY,0,PUBLIC,0,2-Year,275110,800000041333,MOHAWK VALLEY COMMUNITY COLLEGE-ROME CAMPUS,335,292,43,986,122,864,0,0,0,0,335,986,94,10,1321,663.67
2010,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,12152,12097,55,6843,5476,1367,0,0,0,0,12152,6843,4088,926,18995,14433
2011,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,10992,10972,20,11964,4996,6968,0,0,0,0,10992,11964,3699,890,22956,14980
2012,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,10554,10539,15,6742,5261,1481,0,0,0,0,10554,6742,3501,845,17296,12801.33
2013,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,10260,10254,6,6198,4800,1398,0,0,0,0,10260,6198,3354,773,16458,12326
2014,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,9374,9363,11,5961,4619,1342,0,0,0,0,9374,5961,2943,601,15335,11361
2015,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,8856,8848,8,5730,4537,1193,0,0,0,0,8856,5730,2896,482,14586,10766
2016,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,8214,8210,4,5373,4246,1127,0,0,0,0,8214,5373,2644,559,13587,10005
2017,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,7056,7054,2,4678,3614,1064,0,0,0,0,7056,4678,2267,435,11734,8615.33
2018,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,6593,6589,4,4374,3356,1018,0,0,0,0,6593,4374,2283,359,10967,8051
2019,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275400,800000034189,MONROE COMMUNITY COLLEGE,6024,6019,5,4206,3303,903,0,0,0,0,6024,4206,1938,323,10230,7426
2017,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275410,800000050484,MONROE COMMUNITY COLLEGE - DOWNTOWN CAMPUS,810,810,0,405,363,42,0,0,0,0,810,405,208,28,1215,945
2018,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275410,800000050484,MONROE COMMUNITY COLLEGE - DOWNTOWN CAMPUS,890,890,0,416,416,0,0,0,0,0,890,416,225,46,1306,1028.67
2019,26,MONROE,0,SUNY,0,PUBLIC,0,2-Year,275410,800000050484,MONROE COMMUNITY COLLEGE - DOWNTOWN CAMPUS,903,903,0,439,439,0,0,0,0,0,903,439,240,27,1342,1049.33
2010,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,16199,15603,596,7568,6223,1345,0,0,0,0,16199,7568,4941,584,23767,18721.67
2011,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,14940,14422,518,8610,7366,1244,0,0,0,0,14940,8610,4328,676,23550,17810
2012,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,14560,14039,521,8780,7365,1415,0,0,0,0,14560,8780,4218,734,23340,17486.67
2013,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,14209,13588,621,9109,7463,1646,0,0,0,0,14209,9109,4134,631,23318,17245.33
2014,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,13541,12975,566,8833,7243,1590,0,0,0,0,13541,8833,4005,617,22374,16485.33
2015,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,12956,12425,531,8602,7076,1526,0,0,0,0,12956,8602,3915,1080,21558,15823.33
2016,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,11832,11257,575,8542,6947,1595,0,0,0,0,11832,8542,3550,620,20374,14679.33
2017,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,11258,10731,527,7801,6233,1568,0,0,0,0,11258,7801,3344,530,19059,13858.33
2018,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,10100,9573,527,7306,5749,1557,0,0,0,0,10100,7306,3138,492,17406,12535.33
2019,28,NASSAU,0,SUNY,0,PUBLIC,0,2-Year,275700,800000049411,NASSAU COMMUNITY COLLEGE,9486,9040,446,7164,5707,1457,0,0,0,0,9486,7164,3083,535,16650,11874
2010,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,4710,4669,41,2718,1295,1423,0,0,0,0,4710,2718,1630,218,7428,5616
2011,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,4387,4341,46,2770,1258,1512,0,0,0,0,4387,2770,1448,193,7157,5310.33
2012,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,4207,4162,45,2528,1173,1355,0,0,0,0,4207,2528,1350,153,6735,5049.67
2013,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,4178,4138,40,2452,1159,1293,0,0,0,0,4178,2452,1399,155,6630,4995.33
2014,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,3994,3949,45,2484,1169,1315,0,0,0,0,3994,2484,1312,150,6478,4822
2015,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,3610,3559,51,2506,1159,1347,0,0,0,0,3610,2506,1206,161,6116,4445.33
2016,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,3418,3360,58,2475,1021,1454,0,0,0,0,3418,2475,1076,145,5893,4243
2017,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,3229,3160,69,2210,913,1297,0,0,0,0,3229,2210,1032,107,5439,3965.67
2018,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,2962,2917,45,2085,829,1256,0,0,0,0,2962,2085,946,114,5047,3657
2019,40,NIAGARA,0,SUNY,0,PUBLIC,0,2-Year,276000,800000041726,NIAGARA COUNTY COMMUNITY COLLEGE,2751,2696,55,2234,865,1369,0,0,0,0,2751,2234,962,115,4985,3495.67
2010,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,1087,996,91,1155,146,1013,0,0,0,0,1087,1155,336,105,2242,1472
2011,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,1124,1039,85,1330,186,1144,0,0,0,0,1124,1330,349,26,2454,1567.33
2012,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,1023,649,374,1304,160,1144,0,0,0,0,1023,1304,308,27,2327,1457.67
2013,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,951,870,81,1137,151,986,0,0,0,0,951,1137,360,36,2088,1330
2014,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,957,884,73,1005,158,847,0,0,0,0,957,1005,398,49,1962,1292
2015,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,816,751,65,1067,154,913,0,0,0,0,816,1067,273,18,1883,1171.67
2016,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,1612,1432,180,2250,316,1934,0,0,0,0,1612,2250,532,22,3862,2362
2017,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276300,800000051760,NORTH COUNTRY COMMUNITY COLLEGE,614,552,62,1036,87,949,0,0,0,0,614,1036,178,9,1650,959.33
2017,16,FRANKLIN,0,SUNY,0,PUBLIC,0,2-Year,276320,800000051752,NORTH COUNTRY COMMUNITY COLLEGE-MALONE CAMPUS,208,208,0,47,47,0,0,0,0,0,208,47,72,6,255,223.67
2017,15,ESSEX,0,SUNY,0,PUBLIC,0,2-Year,276330,800000051830,NORTH COUNTRY COMMUNITY COLLEGE-TICONDEROGA CAMPUS,74,74,0,27,27,0,0,0,0,0,74,27,18,4,101,83
2010,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,6894,6701,193,4891,2027,2864,0,0,0,0,6894,4891,2309,1019,11785,8524.33
2011,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,6818,6648,170,5927,2096,3831,0,0,0,0,6818,5927,2320,1043,12745,8793.67
2012,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,6719,6576,143,6299,2308,3991,0,0,0,0,6719,6299,2231,812,13018,8818.67
2013,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,6540,6416,124,6293,2248,4045,0,0,0,0,6540,6293,2264,715,12833,8637.67
2014,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,6344,6246,98,5927,2144,3783,0,0,0,0,6344,5927,2239,730,12271,8319.67
2015,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,5895,5769,126,5991,2240,3751,0,0,0,0,5895,5991,2046,499,11886,7892
2016,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,5736,5575,161,6904,2241,4663,0,0,0,0,5736,6904,2003,539,12640,8037.33
2017,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,5118,5008,110,5541,2047,3494,0,0,0,0,5118,5541,1870,486,10659,6965
2018,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,4725,4621,104,5109,1569,3540,0,0,0,0,4725,5109,1739,490,9834,6428
2019,42,ONONDAGA,0,SUNY,0,PUBLIC,0,2-Year,276600,800000040739,ONONDAGA COMMUNITY COLLEGE,4236,4145,91,5213,1512,3701,0,0,0,0,4236,5213,1687,424,9449,5973.67
2010,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3861,3717,144,3205,1954,1251,0,0,0,0,3861,3205,1333,380,7066,4929.33
2011,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3638,3520,118,3666,2264,1402,0,0,0,0,3638,3666,1321,447,7304,4860
2012,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3462,3363,99,3795,2232,1563,0,0,0,0,3462,3795,1239,421,7257,4727
2013,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3338,3301,37,3691,2279,1412,0,0,0,0,3338,3691,1194,301,7029,4568.33
2014,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3323,3295,28,3628,2118,1510,0,0,0,0,3323,3628,1168,299,6951,4532.33
2015,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,3226,3189,37,3756,2165,1591,0,0,0,0,3226,3756,1092,281,6982,4478
2016,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,2878,2836,42,3542,1992,1550,0,0,0,0,2878,3542,1038,266,6420,4058.67
2017,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,2746,2671,75,3392,1771,1621,0,0,0,0,2746,3392,1057,192,6138,3876.67
2018,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,2639,2563,76,3454,1834,1620,0,0,0,0,2639,3454,981,266,6093,3790.33
2019,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276900,800000040366,ORANGE COUNTY COMMUNITY COLLEGE,2390,2313,77,3453,1773,1680,0,0,0,0,2390,3453,826,239,5843,3541
2016,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276910,800000064835,ORANGE COUNTY COMM COLLEGE - NEWBURGH,273,273,0,170,170,0,0,0,0,0,273,170,88,19,443,329.67
2017,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276910,800000064835,ORANGE COUNTY COMM COLLEGE - NEWBURGH,265,265,0,196,196,0,0,0,0,0,265,196,108,15,461,330.33
2018,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276910,800000064835,ORANGE COUNTY COMM COLLEGE - NEWBURGH,325,325,0,199,199,0,0,0,0,0,325,199,123,22,524,391.33
2019,44,ORANGE,0,SUNY,0,PUBLIC,0,2-Year,276910,800000064835,ORANGE COUNTY COMM COLLEGE - NEWBURGH,290,290,0,239,239,0,0,0,0,0,290,239,90,20,529,369.67
2010,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,5078,5076,2,2999,1900,1099,0,0,0,0,5078,2999,1516,90,8077,6077.67
2011,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,4754,4751,3,3292,2164,1128,0,0,0,0,4754,3292,1486,130,8046,5851.33
2012,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,4916,4695,221,3847,2154,1693,0,0,0,0,4916,3847,1489,115,8763,6198.33
2013,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,4483,4467,16,3163,2083,1080,0,0,0,0,4483,3163,1512,170,7646,5537.33
2014,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,4200,4185,15,3321,2157,1164,0,0,0,0,4200,3321,1403,195,7521,5307
2015,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,4023,3984,39,3202,2054,1148,0,0,0,0,4023,3202,1424,242,7225,5090.33
2016,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,3825,3777,48,3352,2056,1296,0,0,0,0,3825,3352,1388,268,7177,4942.33
2017,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,3674,3616,58,3276,1979,1297,0,0,0,0,3674,3276,1338,228,6950,4766
2018,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,3540,3469,71,3317,1967,1350,0,0,0,0,3540,3317,1295,270,6857,4645.67
2019,50,ROCKLAND,0,SUNY,0,PUBLIC,0,2-Year,277200,800000039132,ROCKLAND COMMUNITY COLLEGE,3312,3291,21,3367,1926,1441,0,0,0,0,3312,3367,1290,286,6679,4434.33
2010,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2765,2648,117,3650,1097,2553,0,0,0,0,2765,3650,847,349,6415,3981.67
2011,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2668,2587,81,4091,1229,2862,0,0,0,0,2668,4091,867,429,6759,4031.67
2012,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2730,2661,69,3941,1259,2682,0,0,0,0,2730,3941,851,302,6671,4043.67
2013,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2747,2671,76,3827,1203,2624,0,0,0,0,2747,3827,931,279,6574,4022.67
2014,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2562,2502,60,3935,1300,2635,0,0,0,0,2562,3935,771,272,6497,3873.67
2015,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2234,2169,65,3892,1130,2762,0,0,0,0,2234,3892,699,284,6126,3531.33
2016,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2029,1926,103,4378,1067,3311,0,0,0,0,2029,4378,585,276,6407,3488.33
2017,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,2144,1823,321,4444,1117,3327,0,0,0,0,2144,4444,679,259,6588,3625.33
2018,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,1729,1664,65,3502,1013,2489,0,0,0,0,1729,3502,529,191,5231,2896.33
2019,53,SCHENECTADY,0,SUNY,0,PUBLIC,0,2-Year,277500,800000038336,SCHENECTADY COUNTY COMMUNITY COLLEGE,1555,1472,83,3177,839,2338,0,0,0,0,1555,3177,469,171,4732,2614
2010,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,15985,15935,50,10734,7457,3277,0,0,0,0,15985,10734,4883,2562,26719,19563
2011,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,15064,15019,45,11723,8313,3410,0,0,0,0,15064,11723,4454,2725,26787,18971.67
2012,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,14843,14795,48,11376,7973,3403,0,0,0,0,14843,11376,4555,1360,26219,18635
2013,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,14831,14813,18,11880,7888,3992,0,0,0,0,14831,11880,4604,1327,26711,18791
2014,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,14318,14293,25,12282,7929,4353,0,0,0,0,14318,12282,4603,1275,26600,18412
2015,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,14722,14694,28,12107,7107,5000,0,0,0,0,14722,12107,4751,1110,26829,18757.67
2016,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,7296,7274,22,5153,3154,1999,0,0,0,0,7296,5153,2078,487,12449,9013.67
2017,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,7168,7147,21,5342,2954,2388,0,0,0,0,7168,5342,2214,512,12510,8948.67
2018,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,6829,6804,25,5545,2976,2569,0,0,0,0,6829,5545,1973,552,12374,8677.33
2019,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277800,800000037581,SUFFOLK COUNTY COMMUNITY COLLEGE,6437,6409,28,5485,2898,2587,0,0,0,0,6437,5485,1882,485,11922,8265.33
2016,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277810,800000036942,SUFFOLK COUNTY COMMUNITY COLLEGE EASTERN CAMPUS,1920,1901,19,2155,1029,1126,0,0,0,0,1920,2155,554,162,4075,2638.33
2017,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277810,800000036942,SUFFOLK COUNTY COMMUNITY COLLEGE EASTERN CAMPUS,1898,1867,31,1783,978,805,0,0,0,0,1898,1783,593,193,3681,2492.33
2018,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277810,800000036942,SUFFOLK COUNTY COMMUNITY COLLEGE EASTERN CAMPUS,1815,1795,20,1965,1026,939,0,0,0,0,1815,1965,578,200,3780,2470
2019,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277810,800000036942,SUFFOLK COUNTY COMMUNITY COLLEGE EASTERN CAMPUS,1697,1679,18,2088,981,1107,0,0,0,0,1697,2088,509,179,3785,2393
2016,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277820,800000037016,SUFFOLK COUNTY COMMUNITY COLLEGE WESTERN CAMPUS,4868,4863,5,5674,3010,2664,0,0,0,0,4868,5674,1477,447,10542,6759.33
2017,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277820,800000037016,SUFFOLK COUNTY COMMUNITY COLLEGE WESTERN CAMPUS,4812,4807,5,5753,2816,2937,0,0,0,0,4812,5753,1614,379,10565,6729.67
2018,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277820,800000037016,SUFFOLK COUNTY COMMUNITY COLLEGE WESTERN CAMPUS,4591,4573,18,5344,2774,2570,0,0,0,0,4591,5344,1500,447,9935,6372.33
2019,58,SUFFOLK,0,SUNY,0,PUBLIC,0,2-Year,277820,800000037016,SUFFOLK COUNTY COMMUNITY COLLEGE WESTERN CAMPUS,4265,4250,15,5258,2645,2613,0,0,0,0,4265,5258,1381,370,9523,6017.67
2010,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,1127,1097,30,622,312,310,0,0,0,0,1127,622,491,38,1749,1334.33
2011,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,1134,1107,27,571,248,323,0,0,0,0,1134,571,426,55,1705,1324.33
2012,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,1040,998,42,575,262,313,0,0,0,0,1040,575,395,36,1615,1231.67
2013,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,1020,999,21,535,283,252,0,0,0,0,1020,535,374,25,1555,1198.33
2014,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,930,907,23,713,236,477,0,0,0,0,930,713,329,20,1643,1167.67
2015,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,809,793,16,787,287,500,0,0,0,0,809,787,272,46,1596,1071.33
2016,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,820,806,14,790,266,524,0,0,0,0,820,790,330,30,1610,1083.33
2017,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,843,821,22,721,209,512,0,0,0,0,843,721,325,33,1564,1083.33
2018,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,784,752,32,750,244,506,0,0,0,0,784,750,293,47,1534,1034
2019,59,SULLIVAN,0,SUNY,0,PUBLIC,0,2-Year,278100,800000036677,SULLIVAN COUNTY COMMUNITY COLLEGE,780,756,24,851,318,533,0,0,0,0,780,851,328,40,1631,1063.67
2010,61,TOMPKINS,0,SUNY,0,PUBLIC,0,2-Year,278400,800000036456,TOMPKINS CORTLAND COMMUNITY COLLEGE,2985,2928,57,2528,629,1899,0,0,0,0,2985,2528,1078,74,5513,3827.67
2011,61,TOMPKINS,0,SUNY,0,PUBLIC,0,2-Year,278400,800000036456,TOMPKINS CORTLAND COMMUNITY COLLEGE,2930,2803,127,2732,680,2052,0,0,0,0,2930,2732,1072,66,5662,3840.67
2012,61,TOMPKINS,0,SUNY,0,PUBLIC,0,2-Year,278400,800000036456,TOMPKINS CORTLAND COMMUNITY COLLEGE,2686,2578,108,2764,641,2123,0,0,0,0,2686,2764,958,86,5450,3607.33
2013,61,TOMPKINS,0,SUNY,0,PUBLIC,0,2-Year,278400,800000036456,TOMPKINS CORTLAND COMMUNITY COLLEGE,2587,2468,119,2903,572,2331,0,0,0,0,2587,2903,845,66,5490,3554.67
2014,61,TOMPKINS,0,SUNY,0,PUBLIC,0,2-Year,278400,800000036456,TOMPKINS CORTLAND COMMUNITY COLLEGE,2328,2244,84,3231,615,2616,0,0,0,0,2328,3231,774,93,5559,3405
