Data os of Date,Community District,ProgramTypeName,Female Count,Female Percentage,Male Count,Male Percentage,Gender Nonconforming Count,Gender Nonconforming Percentage,American Indian or Alaskan Native Count,American Indian or Alaskan Native Percentage,Asian Count,Asian Percentage,Black or African American Count,Black or African American Percentage,Multi-race Count,Multi-race Percentage,Native Hawaiian or Other Pacific Islander Count,Native Hawaiian or Other Pacific Islander Percentage,White or Caucasian Count,White or Caucasian Percentage,Hispanic or Latino(a) Count,Hispanic or Latino(a) Percentage,Not Hispanic or Latino(a) Count,Not Hispanic or Latino(a) Percentage,Not Sure Count,Not Sure Percentage,X (Not Male Or Female) Count,X (Not Male Or Female) Percentage,Another Gender Count,Another Gender Percentage,Decline to Answer Count,Decline to Answer Percentage,Do not understand the question Count,Do not understand the question Percentage,Female Gender Identity Count,Female Gender Identity Percentage,Male Gender Identity Count,Male Gender Identity Percentage,Multi-Gender Identity Count,Multi-Gender Identity Percentage,Non-Binary (not Female or Male) Count,Non-Binary (not Female or Male) Percentage,Not Sure Gender Identity Count,Not Sure Gender Identity Percentage,Two Spirit (Native American/First Nations) Count,Two Spirit (Native American/First Nations) Percentage
06/26/2020,Queens CD 012,COMPASS Explore,5,0.17,11,0.39,0,0,1,0.03,1,0.03,13,0.46,0,0,0,0,0,0,3,0.1,13,0.46,0,0,0,0,0,0,2,0.07,0,0,3,0.1,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 012,COMPASS High School,20,0.71,15,0.53,0,0,0,0,4,0.14,21,0.75,0,0,0,0,1,0.03,8,0.28,27,0.96,0,0,0,0,0,0,0,0,0,0,20,0.71,11,0.39,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 012,COMPASS Middle School,1430,51.07,1608,57.43,0,0,31,1.1,156,5.57,2251,80.4,37,1.32,9,0.32,40,1.42,421,15.03,2606,93.08,0,0,0,0,0,0,41,1.46,0,0,45,1.6,89,3.17,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 012,Cornerstone,108,3.85,137,4.89,0,0,2,0.07,1,0.03,206,7.35,10,0.35,0,0,3,0.1,35,1.25,210,7.5,0,0,0,0,0,0,16,0.57,0,0,34,1.21,68,2.42,0,0,0,0,1,0.03,0,0
06/26/2020,Queens CD 012,Drop-in Centers,60,2.14,134,4.78,6,0.21,5,0.17,0,0,119,4.25,10,0.35,0,0,15,0.53,69,2.46,124,4.42,0,0,0,0,0,0,0,0,0,0,47,1.67,119,4.25,1,0.03,3,0.1,0,0,0,0
06/26/2020,Queens CD 012,ESL Civics,10,0.35,3,0.1,0,0,1,0.03,4,0.14,2,0.07,0,0,0,0,2,0.07,7,0.25,6,0.21,0,0,0,0,0,0,2,0.07,0,0,8,0.28,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Adult Literacy - ABE/HSE,5,0.17,5,0.17,0,0,0,0,2,0.07,5,0.17,0,0,0,0,0,0,2,0.07,8,0.28,0,0,0,0,0,0,1,0.03,0,0,5,0.17,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Adult Literacy - ABE/HSE (Discretionary),2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 013,Adult Literacy - BENL/ESOL,6,0.21,6,0.21,0,0,0,0,2,0.07,1,0.03,0,0,0,0,1,0.03,8,0.28,4,0.14,0,0,0,0,0,0,1,0.03,0,0,5,0.17,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Adult Literacy - BENL/ESOL (Discretionary),4,0.14,1,0.03,0,0,0,0,4,0.14,0,0,0,0,0,0,0,0,1,0.03,4,0.14,0,0,0,0,0,0,0,0,0,0,4,0.14,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Adult Literacy - NDA (ABE/HSE/Spanish HSE),4,0.14,2,0.07,0,0,0,0,0,0,4,0.14,0,0,0,0,0,0,0,0,6,0.21,0,0,0,0,0,0,2,0.07,0,0,4,0.14,0,0,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Beacon,537,19.18,848,30.28,0,0,12,0.42,206,7.35,868,31,28,1,4,0.14,53,1.89,197,7.03,1188,42.43,0,0,0,0,0,0,221,7.89,0,0,138,4.92,293,10.46,0,0,2,0.07,1,0.03,1,0.03
06/26/2020,Queens CD 013,COMPASS Explore,5,0.17,5,0.17,0,0,0,0,0,0,6,0.21,0,0,0,0,0,0,4,0.14,6,0.21,0,0,0,0,0,0,3,0.1,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,COMPASS High School,24,0.85,17,0.6,0,0,2,0.07,6,0.21,20,0.71,0,0,1,0.03,2,0.07,9,0.32,32,1.14,0,0,0,0,0,0,0,0,0,0,24,0.85,13,0.46,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,COMPASS Middle School,968,34.57,1138,40.64,0,0,16,0.57,74,2.64,1738,62.07,45,1.6,4,0.14,38,1.35,203,7.25,1897,67.75,0,0,0,0,0,0,22,0.78,0,0,35,1.25,55,1.96,2,0.07,0,0,0,0,0,0
06/26/2020,Queens CD 013,Cornerstone,32,1.14,43,1.53,1,0.03,0,0,0,0,69,2.46,2,0.07,0,0,1,0.03,4,0.14,71,2.53,0,0,0,0,0,0,6,0.21,0,0,16,0.57,22,0.78,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 013,Drop-in Centers,7,0.25,6,0.21,0,0,0,0,1,0.03,7,0.25,0,0,0,0,0,0,1,0.03,12,0.42,0,0,0,0,0,0,0,0,0,0,6,0.21,5,0.17,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 013,ESL Civics,4,0.14,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0,0,0,4,0.14,0,0,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 014,Adult Literacy - ABE/HSE,2,0.07,2,0.07,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,3,0.1,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 014,Adult Literacy - BENL/ESOL,7,0.25,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,7,0.25,3,0.1,0,0,0,0,0,0,1,0.03,0,0,6,0.21,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 014,Adult Literacy - NDA (ABE/HSE/Spanish HSE),2,0.07,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 014,Beacon,451,16.1,578,20.64,0,0,5,0.17,7,0.25,816,29.14,12,0.42,3,0.1,33,1.17,203,7.25,827,29.53,0,0,1,0.03,0,0,17,0.6,0,0,125,4.46,313,11.17,0,0,1,0.03,1,0.03,0,0
06/26/2020,Queens CD 014,COMPASS Explore,46,1.64,40,1.42,0,0,2,0.07,7,0.25,53,1.89,2,0.07,0,0,12,0.42,14,0.5,72,2.57,0,0,0,0,0,0,24,0.85,0,0,26,0.92,30,1.07,2,0.07,0,0,0,0,0,0
06/26/2020,Queens CD 014,COMPASS High School,40,1.42,21,0.75,0,0,1,0.03,0,0,35,1.25,1,0.03,0,0,14,0.5,22,0.78,39,1.39,0,0,0,0,0,0,10,0.35,0,0,25,0.89,16,0.57,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 014,COMPASS Middle School,954,34.07,939,33.53,0,0,6,0.21,24,0.85,1188,42.43,50,1.78,6,0.21,118,4.21,627,22.39,1261,45.04,0,0,0,0,0,0,43,1.53,0,0,55,1.96,71,2.53,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 014,Cornerstone,391,13.96,605,21.6,0,0,4,0.14,4,0.14,843,30.11,19,0.67,6,0.21,20,0.71,154,5.5,842,30.07,0,0,0,0,0,0,60,2.14,0,0,102,3.64,272,9.71,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 014,Drop-in Centers,33,1.17,45,1.6,0,0,0,0,0,0,68,2.42,0,0,0,0,3,0.1,14,0.5,64,2.28,0,0,0,0,0,0,0,0,0,0,29,1.03,46,1.64,1,0.03,0,0,0,0,0,0
06/26/2020,Queens CD 014,ESL Civics,3,0.1,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0
06/26/2020,Queens CD 081,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adolescent Literacy,20,0.71,5,0.17,0,0,0,0,0,0,21,0.75,0,0,0,0,0,0,8,0.28,17,0.6,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adult Literacy - ABE/HSE,66,2.35,26,0.92,0,0,0,0,4,0.14,11,0.39,0,0,0,0,12,0.42,67,2.39,25,0.89,0,0,0,0,0,0,9,0.32,0,0,59,2.1,24,0.85,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adult Literacy - ABE/HSE (Discretionary),1,0.03,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.07,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adult Literacy - BENL/ESOL,137,4.89,46,1.64,0,0,1,0.03,25,0.89,4,0.14,0,0,0,0,15,0.53,126,4.5,59,2.1,2,0.07,0,0,0,0,9,0.32,0,0,131,4.67,45,1.6,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adult Literacy - BENL/ESOL (Discretionary),9,0.32,8,0.28,0,0,0,0,11,0.39,0,0,0,0,0,0,0,0,4,0.14,13,0.46,0,0,0,0,0,0,3,0.1,0,0,9,0.32,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Adult Literacy - NDA (ABE/HSE/Spanish HSE),54,1.92,25,0.89,0,0,2,0.07,3,0.1,29,1.03,0,0,0,0,12,0.42,37,1.32,42,1.5,0,0,0,0,0,0,3,0.1,0,0,51,1.82,25,0.89,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Beacon,480,17.14,672,24,0,0,5,0.17,55,1.96,650,23.21,47,1.67,3,0.1,135,4.82,359,12.82,793,28.32,0,0,0,0,0,0,52,1.85,0,0,175,6.25,303,10.82,1,0.03,0,0,0,0,0,0
06/26/2020,Richmond CD 001,COMPASS Explore,24,0.85,22,0.78,0,0,0,0,0,0,8,0.28,1,0.03,0,0,18,0.64,19,0.67,27,0.96,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,COMPASS High School,53,1.89,25,0.89,0,0,2,0.07,6,0.21,35,1.25,6,0.21,0,0,11,0.39,35,1.25,43,1.53,0,0,0,0,0,0,0,0,0,0,49,1.75,22,0.78,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,COMPASS Middle School,1083,38.68,1068,38.14,1,0.03,15,0.53,118,4.21,812,29,111,3.96,5,0.17,646,23.07,845,30.18,1306,46.64,2,0.07,1,0.03,0,0,2,0.07,0,0,22,0.78,26,0.92,1,0.03,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Cornerstone,552,19.71,820,29.28,1,0.03,11,0.39,13,0.46,933,33.32,85,3.03,6,0.21,71,2.53,444,15.85,929,33.18,0,0,1,0.03,0,0,38,1.35,0,0,246,8.78,470,16.78,2,0.07,0,0,0,0,0,0
06/26/2020,Richmond CD 001,Drop-in Centers,45,1.6,126,4.5,0,0,4,0.14,0,0,77,2.75,6,0.21,0,0,17,0.6,64,2.28,107,3.82,0,0,3,0.1,0,0,0,0,0,0,31,1.1,94,3.35,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 001,ESL Civics,47,1.67,29,1.03,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,74,2.64,2,0.07,0,0,0,0,0,0,3,0.1,0,0,42,1.5,31,1.1,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Adult Literacy - ABE/HSE,49,1.75,31,1.1,0,0,0,0,6,0.21,6,0.21,1,0.03,0,0,28,1,33,1.17,47,1.67,0,0,0,0,0,0,3,0.1,1,0.03,48,1.71,28,1,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Adult Literacy - ABE/HSE (Discretionary),0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Adult Literacy - BENL/ESOL,114,4.07,25,0.89,0,0,0,0,54,1.92,0,0,0,0,0,0,34,1.21,40,1.42,99,3.53,0,0,0,0,0,0,7,0.25,0,0,105,3.75,27,0.96,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Adult Literacy - BENL/ESOL (Discretionary),13,0.46,4,0.14,0,0,0,0,13,0.46,0,0,0,0,0,0,1,0.03,0,0,17,0.6,0,0,0,0,0,0,1,0.03,0,0,12,0.42,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Adult Literacy - NDA (ABE/HSE/Spanish HSE),6,0.21,8,0.28,0,0,0,0,3,0.1,1,0.03,0,0,0,0,5,0.17,5,0.17,9,0.32,0,0,0,0,0,0,0,0,0,0,5,0.17,9,0.32,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Beacon,268,9.57,289,10.32,0,0,1,0.03,74,2.64,81,2.89,5,0.17,0,0,318,11.35,142,5.07,415,14.82,0,0,0,0,0,0,9,0.32,1,0.03,79,2.82,111,3.96,0,0,0,0,1,0.03,0,0
06/26/2020,Richmond CD 002,COMPASS Explore,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,COMPASS High School,1,0.03,7,0.25,0,0,0,0,2,0.07,3,0.1,1,0.03,0,0,1,0.03,2,0.07,6,0.21,0,0,0,0,0,0,0,0,0,0,2,0.07,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,COMPASS Middle School,246,8.78,335,11.96,0,0,2,0.07,94,3.35,56,2,25,0.89,9,0.32,305,10.89,160,5.71,420,15,0,0,0,0,0,0,5,0.17,0,0,3,0.1,2,0.07,0,0,0,0,0,0,0,0
06/01/2019,Bronx CD 003,Adolescent Literacy,4,0.24,0,0,0,0,0,0,0,0,2,0.12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/26/2020,Richmond CD 002,Cornerstone,217,7.75,230,8.21,2,0.07,4,0.14,13,0.46,249,8.89,21,0.75,1,0.03,85,3.03,160,5.71,288,10.28,1,0.03,0,0,0,0,8,0.28,0,0,79,2.82,104,3.71,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,Drop-in Centers,11,0.39,38,1.35,0,0,0,0,0,0,20,0.71,1,0.03,0,0,3,0.1,11,0.39,38,1.35,0,0,0,0,0,0,0,0,0,0,10,0.35,23,0.82,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 002,ESL Civics,11,0.39,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,4,0.14,9,0.32,4,0.14,0,0,0,0,0,0,0,0,0,0,11,0.39,2,0.07,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Adult Literacy - ABE/HSE,43,1.53,34,1.21,0,0,0,0,4,0.14,2,0.07,0,0,0,0,52,1.85,24,0.85,53,1.89,0,0,0,0,0,0,3,0.1,0,0,41,1.46,33,1.17,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Adult Literacy - BENL/ESOL,59,2.1,10,0.35,0,0,0,0,21,0.75,0,0,0,0,0,0,17,0.6,15,0.53,54,1.92,0,0,0,0,0,0,3,0.1,0,0,57,2.03,9,0.32,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Adult Literacy - BENL/ESOL (Discretionary),1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Adult Literacy - NDA (ABE/HSE/Spanish HSE),1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Beacon,712,25.43,452,16.14,0,0,2,0.07,45,1.6,23,0.82,26,0.92,1,0.03,1020,36.43,129,4.6,1036,37,1,0.03,0,0,0,0,13,0.46,0,0,554,19.78,319,11.39,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,COMPASS Middle School,451,16.1,506,18.07,0,0,1,0.03,73,2.6,22,0.78,31,1.1,1,0.03,738,26.36,168,6,787,28.11,0,0,0,0,0,0,3,0.1,0,0,5,0.17,8,0.28,0,0,0,0,2,0.07,0,0
06/26/2020,Richmond CD 003,Cornerstone,13,0.46,33,1.17,0,0,1,0.03,6,0.21,13,0.46,2,0.07,0,0,12,0.42,14,0.5,32,1.14,0,0,0,0,0,0,2,0.07,0,0,11,0.39,21,0.75,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,Drop-in Centers,3,0.1,9,0.32,0,0,0,0,0,0,2,0.07,0,0,0,0,7,0.25,1,0.03,11,0.39,0,0,0,0,0,0,0,0,0,0,2,0.07,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 003,ESL Civics,5,0.17,2,0.07,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,5,0.17,2,0.07,0,0,0,0,0,0,0,0,0,0,4,0.14,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 095,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Richmond CD 095,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Valley Stream,Adult Literacy - BENL/ESOL,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/01/2019,Bronx CD 001,Adult Literacy - ABE/HSE,16,0.99,10,0.61,0,0,0,0,0,0,8,0.49,3,0.18,0,0,2,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Adult Literacy - ABE/HSE (Discretionary),31,1.92,31,1.92,0,0,1,0.06,0,0,30,1.85,2,0.12,1,0.06,5,0.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Adult Literacy - BENL/ESOL,252,15.61,70,4.33,0,0,0,0,0,0,5,0.3,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Adult Literacy - BENL/ESOL (Discretionary),1,0.06,4,0.24,0,0,0,0,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Adult Literacy - NDA (ABE/HSE/Spanish HSE),49,3.03,18,1.11,0,0,0,0,0,0,19,1.17,0,0,0,0,3,0.18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Beacon,218,13.51,245,15.18,0,0,11,0.68,1,0.06,154,9.54,12,0.74,3,0.18,17,1.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,COMPASS Elementary,645,39.97,559,34.64,3,0.18,10,0.61,7,0.43,522,32.35,24,1.48,14,0.86,39,2.41,9,0.55,2,0.12,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,COMPASS Explore,19,1.17,13,0.8,0,0,0,0,0,0,8,0.49,1,0.06,0,0,2,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,COMPASS High School,5,0.3,15,0.92,0,0,0,0,0,0,4,0.24,0,0,0,0,2,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,COMPASS Middle School,680,42.14,666,41.28,1,0.06,5,0.3,8,0.49,565,35.02,33,2.04,3,0.18,34,2.1,25,1.54,22,1.36,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,Cornerstone,353,21.87,486,30.12,2,0.12,11,0.68,2,0.12,517,32.04,19,1.17,8,0.49,18,1.11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 001,ESL Civics,45,2.78,10,0.61,0,0,0,0,0,0,3,0.18,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adolescent Literacy,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adult Literacy - ABE/HSE,4,0.24,8,0.49,0,0,0,0,0,0,3,0.18,1,0.06,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adult Literacy - ABE/HSE (Discretionary),1,0.06,6,0.37,0,0,0,0,0,0,4,0.24,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adult Literacy - BENL/ESOL,72,4.46,16,0.99,1,0.06,0,0,0,0,4,0.24,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adult Literacy - BENL/ESOL (Discretionary),5,0.3,2,0.12,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 002,Adult Literacy - NDA (ABE/HSE/Spanish HSE),6,0.37,3,0.18,0,0,0,0,0,0,4,0.24,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Adult Literacy - ABE/HSE,9,0.55,8,0.49,0,0,0,0,0,0,9,0.55,2,0.12,1,0.06,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Adult Literacy - ABE/HSE (Discretionary),13,0.8,4,0.24,0,0,0,0,0,0,10,0.61,1,0.06,1,0.06,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Adult Literacy - BENL/ESOL,79,4.89,41,2.54,0,0,0,0,0,0,15,0.92,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Adult Literacy - BENL/ESOL (Discretionary),6,0.37,3,0.18,0,0,0,0,0,0,1,0.06,0,0,1,0.06,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Adult Literacy - NDA (ABE/HSE/Spanish HSE),23,1.42,12,0.74,0,0,0,0,0,0,16,0.99,2,0.12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Beacon,193,11.96,275,17.04,0,0,4,0.24,1,0.06,231,14.31,7,0.43,2,0.12,14,0.86,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,COMPASS Elementary,514,31.85,511,31.67,0,0,6,0.37,3,0.18,529,32.78,14,0.86,4,0.24,34,2.1,6,0.37,6,0.37,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,COMPASS Explore,31,1.92,18,1.11,0,0,0,0,0,0,20,1.23,3,0.18,0,0,4,0.24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,COMPASS High School,13,0.8,27,1.67,0,0,0,0,0,0,17,1.05,2,0.12,0,0,2,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,COMPASS Middle School,699,43.32,700,43.38,0,0,3,0.18,10,0.61,755,46.79,33,2.04,3,0.18,22,1.36,16,0.99,20,1.23,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,Cornerstone,148,9.17,204,12.64,4,0.24,1,0.06,0,0,228,14.13,9,0.55,2,0.12,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 003,ESL Civics,16,0.99,7,0.43,0,0,0,0,0,0,6,0.37,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adolescent Literacy,5,0.3,3,0.18,0,0,0,0,0,0,1,0.06,0,0,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adult Literacy - ABE/HSE,13,0.8,8,0.49,0,0,0,0,0,0,5,0.3,1,0.06,0,0,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adult Literacy - ABE/HSE (Discretionary),10,0.61,7,0.43,0,0,0,0,0,0,8,0.49,1,0.06,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adult Literacy - BENL/ESOL,195,12.08,67,4.15,1,0.06,0,0,14,0.86,28,1.73,1,0.06,0,0,6,0.37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adult Literacy - BENL/ESOL (Discretionary),17,1.05,8,0.49,0,0,0,0,0,0,6,0.37,0,0,1,0.06,1,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Adult Literacy - NDA (ABE/HSE/Spanish HSE),36,2.23,13,0.8,0,0,2,0.12,0,0,15,0.92,1,0.06,0,0,4,0.24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,Beacon,324,20.08,378,23.42,0,0,4,0.24,3,0.18,254,15.74,7,0.43,3,0.18,14,0.86,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,COMPASS Elementary,644,39.91,594,36.81,1,0.06,7,0.43,6,0.37,346,21.44,14,0.86,3,0.18,33,2.04,25,1.54,4,0.24,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,COMPASS Explore,50,3.09,32,1.98,0,0,1,0.06,0,0,27,1.67,1,0.06,0,0,5,0.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/01/2019,Bronx CD 004,COMPASS High School,14,0.86,27,1.67,0,0,0,0,1,0.06,15,0.92,1,0.06,0,0,6,0.37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
